Original_Term,Reference,Standardized_Term
Body_Mass.g,Kverkova_etal_2018_TableS1,Body_Mass.g
Body_Mass.g_SD,Kverkova_etal_2018_TableS1,Body_Mass.g_SD
Brain_Mass.g,Kverkova_etal_2018_TableS1,WholeBrainOlfactoryBulb_Mass.g
Brain_Mass.g_SD,Kverkova_etal_2018_TableS1,WholeBrainOlfactoryBulb_Mass.g_SD
Cerebellum_Vol.mm3,Kverkova_etal_2018_TableS1,Cerebellum_Vol.mm3
Cerebellum_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Cerebellum_Vol.mm3_SD
Cerebellum_p.C.Brain,Kverkova_etal_2018_TableS1,Cerebellum_p.C.Brain
Entorhinal cortex_Vol.mm3,Kverkova_etal_2018_TableS1,EntorhinalCortex_Vol.mm3
Entorhinal cortex_Vol.mm3_SD,Kverkova_etal_2018_TableS1,EntorhinalCortex_Vol.mm3_SD
Entorhinal cortex_p.C.Brain,Kverkova_etal_2018_TableS1,EntorhinalCortex_p.C.Brain
Hippocampus_Vol.mm3,Kverkova_etal_2018_TableS1,Hippocampus_Vol.mm3
Hippocampus_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Hippocampus_Vol.mm3_SD
Hippocampus_p.C.Brain,Kverkova_etal_2018_TableS1,Hippocampus_p.C.Brain
Hypothalamus_Vol.mm3,Kverkova_etal_2018_TableS1,Hypothalamus_Vol.mm3
Hypothalamus_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Hypothalamus_Vol.mm3_SD
Hypothalamus_p.C.Brain,Kverkova_etal_2018_TableS1,Hypothalamus_p.C.Brain
Medulla oblongata_Vol.mm3,Kverkova_etal_2018_TableS1,Medulla_Vol.mm3
Medulla oblongata_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Medulla_Vol.mm3_SD
Medulla oblongata_p.C.Brain,Kverkova_etal_2018_TableS1,Medulla_p.C.Brain
Neocortex_Vol.mm3,Kverkova_etal_2018_TableS1,Neocortex_Vol.mm3
Neocortex_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Neocortex_Vol.mm3_SD
Neocortex_p.C.Brain,Kverkova_etal_2018_TableS1,Neocortex_p.C.Brain
Olfactory bulbs_Vol.mm3,Kverkova_etal_2018_TableS1,OlfactoryBulb_Vol.mm3
Olfactory bulbs_Vol.mm3_SD,Kverkova_etal_2018_TableS1,OlfactoryBulb_Vol.mm3_SD
Olfactory bulbs_p.C.Brain,Kverkova_etal_2018_TableS1,OlfactoryBulb_p.C.Brain
Olfactory cortices_Vol.mm3,Kverkova_etal_2018_TableS1,OlfactoryCortices_Vol.mm3
Olfactory cortices_Vol.mm3_SD,Kverkova_etal_2018_TableS1,OlfactoryCortices_Vol.mm3_SD
Olfactory cortices_p.C.Brain,Kverkova_etal_2018_TableS1,OlfactoryCortices_p.C.Brain
Septum_Vol.mm3,Kverkova_etal_2018_TableS1,Septum_Vol.mm3
Septum_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Septum_Vol.mm3_SD
Septum_p.C.Brain,Kverkova_etal_2018_TableS1,Septum_p.C.Brain
Species,Kverkova_etal_2018_TableS1,Species
Striatum_Vol.mm3,Kverkova_etal_2018_TableS1,Striatum_Vol.mm3
Striatum_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Striatum_Vol.mm3_SD
Striatum_p.C.Brain,Kverkova_etal_2018_TableS1,Striatum_p.C.Brain
Tectum_Vol.mm3,Kverkova_etal_2018_TableS1,Tectum_Vol.mm3
Tectum_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Tectum_Vol.mm3_SD
Tectum_p.C.Brain,Kverkova_etal_2018_TableS1,Tectum_p.C.Brain
Tegmentum_Vol.mm3,Kverkova_etal_2018_TableS1,Tegmentum_Vol.mm3
Tegmentum_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Tegmentum_Vol.mm3_SD
Tegmentum_p.C.Brain,Kverkova_etal_2018_TableS1,Tegmentum_p.C.Brain
Thalamus_Vol.mm3,Kverkova_etal_2018_TableS1,Thalamus_Vol.mm3
Thalamus_Vol.mm3_SD,Kverkova_etal_2018_TableS1,Thalamus_Vol.mm3_SD
Thalamus_p.C.Brain,Kverkova_etal_2018_TableS1,Thalamus_p.C.Brain
Brain stem_N.n,Kverkova_etal_2018_TableS5,MesencephalonMedulla_N.n
Brain stem_N.n_SD,Kverkova_etal_2018_TableS5,MesencephalonMedulla_N.n_SD
Cerebellum_N.n,Kverkova_etal_2018_TableS5,Cerebellum_N.n
Cerebellum_N.n_SD,Kverkova_etal_2018_TableS5,Cerebellum_N.n_SD
Cortex_N.n,Kverkova_etal_2018_TableS5,CerebralCortex_N.n
Cortex_N.n_SD,Kverkova_etal_2018_TableS5,CerebralCortex_N.n_SD
Olfactory bulbs_N.n,Kverkova_etal_2018_TableS5,OlfactoryBulb_N.n
Olfactory bulbs_N.n_SD,Kverkova_etal_2018_TableS5,OlfactoryBulb_N.n_SD
Species,Kverkova_etal_2018_TableS5,Species
Subcortical forebrain_N.n,Kverkova_etal_2018_TableS5,SubcorticalForebrain_N.n
Subcortical forebrain_N.n_SD,Kverkova_etal_2018_TableS5,SubcorticalForebrain_N.n_SD
Whole brain_N.n,Kverkova_etal_2018_TableS5,WholeBrainOlfactoryBulb_N.n
Whole brain_N.n_SD,Kverkova_etal_2018_TableS5,WholeBrainOlfactoryBulb_N.n_SD
