Species,Variable,Value,Source,Team,Year
Solenodon paradoxus,Bulbus_olfactorius_accessorius_Vol.mm3,0.218,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Lobus_piriformis_Vol.mm3,689.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Septum_Vol.mm3,65.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Striatum_Vol.mm3,255.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Schizo_cortex_Vol.mm3,156.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Hippocampus_Vol.mm3,296.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Neocortex_Vol.mm3,661.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Nucleus_septalis_triangularis_Vol.mm3,0.87,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Corpus_subfornicale_Vol.mm3,0.083,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Nucleus_habenularis_medialis_Vol.mm3,2.08,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Corpus_pineal_Vol.mm3,1.27,Stephan_etal_1981_Table1,Stephan_collection,1981
Solenodon paradoxus,Corpus_subcommissurale_Vol.mm3,0.0435,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Body_Mass.g,832.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Brain_Mass.mg,2570.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Ventricles_Vol.mm3,65.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Total_brain_net_volume_Vol.mm3,2315.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Medulla_oblongata_Vol.mm3,313.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Cerebellum_Vol.mm3,309.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Mesencephalon_Vol.mm3,132.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Diencephalon_Vol.mm3,153.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Telencephalon_Vol.mm3,1407.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Bulbus_olfactorius_Vol.mm3,314.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Bulbus_olfactorius_accessorius_Vol.mm3,0.715,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Lobus_piriformis_Vol.mm3,464.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Septum_Vol.mm3,36.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Striatum_Vol.mm3,98.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Schizo_cortex_Vol.mm3,76.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Hippocampus_Vol.mm3,146.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Neocortex_Vol.mm3,271.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Epithalamus_Vol.mm3,2.7,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Thalamus_Vol.mm3,62.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Hypothalamus_Vol.mm3,51.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Subthalamus_Vol.mm3,11.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Pallidum_Vol.mm3,11.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_subthalamicus_Vol.mm3,0.481,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Capsula_interna_Vol.mm3,13.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Tractus_opticus_Vol.mm3,2.73,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Palaeocortex_Vol.mm3,364.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Amygdala_Vol.mm3,88.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Complexus_centromedialis_Vol.mm3,39.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_tractus_olfactorius_Vol.mm3,3.18,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Complexus_corticobasolateralis_Vol.mm3,48.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,8.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Complexus_vestibularis_unilateral_Vol.mm3,7.59,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_vestibularis_superior_unilateral_Vol.mm3,1.23,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,1.33,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,2.68,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,2.35,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_septalis_triangularis_Vol.mm3,0.704,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Corpus_subfornicale_Vol.mm3,0.124,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Nucleus_habenularis_medialis_Vol.mm3,0.988,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Corpus_pineal_Vol.mm3,0.48,Stephan_etal_1981_Table1,Stephan_collection,1981
Tenrec ecaudatus,Corpus_subcommissurale_Vol.mm3,0.0112,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Body_Mass.g,248.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Brain_Mass.mg,1510.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Ventricles_Vol.mm3,21.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Total_brain_net_volume_Vol.mm3,1404.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Medulla_oblongata_Vol.mm3,183.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Cerebellum_Vol.mm3,142.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Mesencephalon_Vol.mm3,75.7,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Diencephalon_Vol.mm3,99.7,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Telencephalon_Vol.mm3,903.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Bulbus_olfactorius_Vol.mm3,209.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Bulbus_olfactorius_accessorius_Vol.mm3,0.534,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Lobus_piriformis_Vol.mm3,336.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Septum_Vol.mm3,26.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Striatum_Vol.mm3,56.6,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Schizo_cortex_Vol.mm3,41.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Hippocampus_Vol.mm3,99.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Neocortex_Vol.mm3,134.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Epithalamus_Vol.mm3,1.62,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Thalamus_Vol.mm3,41.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Hypothalamus_Vol.mm3,38.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Subthalamus_Vol.mm3,5.81,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Pallidum_Vol.mm3,5.49,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_subthalamicus_Vol.mm3,0.316,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Capsula_interna_Vol.mm3,8.57,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Tractus_opticus_Vol.mm3,1.07,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Palaeocortex_Vol.mm3,269.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Amygdala_Vol.mm3,67.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Complexus_centromedialis_Vol.mm3,30.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_tractus_olfactorius_Vol.mm3,2.71,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Complexus_corticobasolateralis_Vol.mm3,36.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,7.46,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Complexus_vestibularis_unilateral_Vol.mm3,3.75,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_vestibularis_superior_unilateral_Vol.mm3,0.689,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,0.483,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,1.44,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,1.14,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_septalis_triangularis_Vol.mm3,0.329,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Corpus_subfornicale_Vol.mm3,0.06,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Nucleus_habenularis_medialis_Vol.mm3,0.426,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Corpus_pineal_Vol.mm3,0.445,Stephan_etal_1981_Table1,Stephan_collection,1981
Setifer setosus,Corpus_subcommissurale_Vol.mm3,0.0031,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Body_Mass.g,110.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Brain_Mass.mg,830.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Ventricles_Vol.mm3,15.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Total_brain_net_volume_Vol.mm3,757.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Medulla_oblongata_Vol.mm3,108.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Cerebellum_Vol.mm3,117.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Mesencephalon_Vol.mm3,44.8,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Diencephalon_Vol.mm3,48.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Telencephalon_Vol.mm3,438.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Bulbus_olfactorius_Vol.mm3,93.6,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Bulbus_olfactorius_accessorius_Vol.mm3,0.196,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Lobus_piriformis_Vol.mm3,148.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Septum_Vol.mm3,12.8,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Striatum_Vol.mm3,29.8,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Schizo_cortex_Vol.mm3,17.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Hippocampus_Vol.mm3,63.7,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Neocortex_Vol.mm3,73.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Epithalamus_Vol.mm3,1.16,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Thalamus_Vol.mm3,19.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Hypothalamus_Vol.mm3,17.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Subthalamus_Vol.mm3,3.31,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Pallidum_Vol.mm3,3.12,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_subthalamicus_Vol.mm3,0.188,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Capsula_interna_Vol.mm3,2.81,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Tractus_opticus_Vol.mm3,0.507,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Palaeocortex_Vol.mm3,125.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Amygdala_Vol.mm3,22.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Complexus_centromedialis_Vol.mm3,10.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_tractus_olfactorius_Vol.mm3,1.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Complexus_corticobasolateralis_Vol.mm3,11.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,2.39,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Complexus_vestibularis_unilateral_Vol.mm3,2.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_vestibularis_superior_unilateral_Vol.mm3,0.384,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,0.552,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,0.852,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,0.709,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_septalis_triangularis_Vol.mm3,0.338,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Corpus_subfornicale_Vol.mm3,0.032,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Nucleus_habenularis_medialis_Vol.mm3,0.425,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Corpus_pineal_Vol.mm3,0.181,Stephan_etal_1981_Table1,Stephan_collection,1981
Hemicentetes semispinosus,Corpus_subcommissurale_Vol.mm3,0.00382,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Body_Mass.g,87.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Brain_Mass.mg,620.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Ventricles_Vol.mm3,8.34,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Total_brain_net_volume_Vol.mm3,566.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Medulla_oblongata_Vol.mm3,89.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Cerebellum_Vol.mm3,57.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Mesencephalon_Vol.mm3,43.8,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Diencephalon_Vol.mm3,40.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Telencephalon_Vol.mm3,335.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Bulbus_olfactorius_Vol.mm3,71.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Bulbus_olfactorius_accessorius_Vol.mm3,0.249,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Lobus_piriformis_Vol.mm3,116.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Septum_Vol.mm3,11.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Striatum_Vol.mm3,24.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Schizo_cortex_Vol.mm3,13.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Hippocampus_Vol.mm3,46.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Neocortex_Vol.mm3,51.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Epithalamus_Vol.mm3,0.977,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Thalamus_Vol.mm3,17.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Hypothalamus_Vol.mm3,16.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Subthalamus_Vol.mm3,2.68,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Pallidum_Vol.mm3,2.44,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_subthalamicus_Vol.mm3,0.242,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Capsula_interna_Vol.mm3,2.23,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Tractus_opticus_Vol.mm3,0.605,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Palaeocortex_Vol.mm3,93.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Amygdala_Vol.mm3,22.1,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Complexus_centromedialis_Vol.mm3,10.8,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_tractus_olfactorius_Vol.mm3,0.71,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Complexus_corticobasolateralis_Vol.mm3,11.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,3.19,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Complexus_vestibularis_unilateral_Vol.mm3,1.69,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_vestibularis_superior_unilateral_Vol.mm3,0.291,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,0.281,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,0.615,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,0.505,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_septalis_triangularis_Vol.mm3,0.338,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Corpus_subfornicale_Vol.mm3,0.029,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Nucleus_habenularis_medialis_Vol.mm3,0.365,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Corpus_pineal_Vol.mm3,0.243,Stephan_etal_1981_Table1,Stephan_collection,1981
Echinops telfairi,Corpus_subcommissurale_Vol.mm3,0.000212,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Body_Mass.g,44.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Brain_Mass.mg,580.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Ventricles_Vol.mm3,4.83,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Total_brain_net_volume_Vol.mm3,538.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Medulla_oblongata_Vol.mm3,61.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Cerebellum_Vol.mm3,81.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Mesencephalon_Vol.mm3,26.6,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Diencephalon_Vol.mm3,36.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Telencephalon_Vol.mm3,332.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Bulbus_olfactorius_Vol.mm3,46.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Bulbus_olfactorius_accessorius_Vol.mm3,0.12,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Lobus_piriformis_Vol.mm3,88.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Septum_Vol.mm3,10.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Striatum_Vol.mm3,32.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Schizo_cortex_Vol.mm3,23.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Hippocampus_Vol.mm3,64.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Neocortex_Vol.mm3,66.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Nucleus_septalis_triangularis_Vol.mm3,0.331,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Corpus_subfornicale_Vol.mm3,0.018,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Nucleus_habenularis_medialis_Vol.mm3,0.257,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Corpus_pineal_Vol.mm3,0.051,Stephan_etal_1981_Table1,Stephan_collection,1981
Oryzorictes hova,Corpus_subcommissurale_Vol.mm3,0.000694,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Body_Mass.g,15.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Brain_Mass.mg,420.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Ventricles_Vol.mm3,7.12,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Total_brain_net_volume_Vol.mm3,392.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Medulla_oblongata_Vol.mm3,45.3,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Cerebellum_Vol.mm3,49.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Mesencephalon_Vol.mm3,24.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Diencephalon_Vol.mm3,25.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Telencephalon_Vol.mm3,248.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Bulbus_olfactorius_Vol.mm3,35.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Bulbus_olfactorius_accessorius_Vol.mm3,0.162,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Lobus_piriformis_Vol.mm3,79.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Septum_Vol.mm3,6.08,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Striatum_Vol.mm3,19.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Schizo_cortex_Vol.mm3,13.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Hippocampus_Vol.mm3,36.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Neocortex_Vol.mm3,57.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Nucleus_septalis_triangularis_Vol.mm3,0.216,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Corpus_subfornicale_Vol.mm3,0.0116,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Nucleus_habenularis_medialis_Vol.mm3,0.147,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Corpus_pineal_Vol.mm3,0.0152,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale cowani,Corpus_subcommissurale_Vol.mm3,0.00129,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Body_Mass.g,92.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Brain_Mass.mg,1150.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Ventricles_Vol.mm3,12.6,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Total_brain_net_volume_Vol.mm3,1046.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Medulla_oblongata_Vol.mm3,204.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Cerebellum_Vol.mm3,176.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Mesencephalon_Vol.mm3,67.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Diencephalon_Vol.mm3,81.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Telencephalon_Vol.mm3,518.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Bulbus_olfactorius_Vol.mm3,42.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Bulbus_olfactorius_accessorius_Vol.mm3,0.323,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Lobus_piriformis_Vol.mm3,87.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Septum_Vol.mm3,19.5,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Striatum_Vol.mm3,57.9,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Schizo_cortex_Vol.mm3,36.4,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Hippocampus_Vol.mm3,78.2,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Neocortex_Vol.mm3,196.0,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Nucleus_septalis_triangularis_Vol.mm3,0.602,Stephan_etal_1981_Table1,Stephan_collection,1981
Microgale mergulus,Corpus_subfornicale_Vol.mm3,0.0194,Stephan_etal_1981_Table1,Stephan_collection,1981
